"x","VideoAligned_1 uM Capsaicin BTX F#1.1_average","VideoAligned_1 uM Capsaicin BTX F#1.2_average","VideoAligned_1 uM Capsaicin BTX F#2.1_average","VideoAligned_1 uM Capsaicin BTX F#2.2_average","VideoAligned_1 uM Capsaicin BTX F#3.1_average","VideoAligned_1 uM Capsaicin BTX F#3.2_average","VideoAligned_1 uM Capsaicin BTX-Stress F#1.1_average","VideoAligned_1 uM Capsaicin BTX-Stress F#1.2_average","VideoAligned_1 uM Capsaicin BTX-Stress F#2.1_average","VideoAligned_1 uM Capsaicin BTX-Stress F#2.2_average","VideoAligned_1 uM Capsaicin BTX-Stress F#3.1_average","VideoAligned_1 uM Capsaicin BTX-Stress F#3.2_average","VideoAligned_1 uM Capsaicin Control F#1.1_average","VideoAligned_1 uM Capsaicin Control F#1.2_average","VideoAligned_1 uM Capsaicin Control F#2.1_average","VideoAligned_1 uM Capsaicin Control F#2.2_average","VideoAligned_1 uM Capsaicin Control F#3.1_average","VideoAligned_1 uM Capsaicin Control F#3.2_average","VideoAligned_1 uM Capsaicin Control-BTX F#1.1_average","VideoAligned_1 uM Capsaicin Control-BTX F#1.2_average","VideoAligned_1 uM Capsaicin Control-BTX F#2.1_average","VideoAligned_1 uM Capsaicin Control-BTX F#2.2_average","VideoAligned_1 uM Capsaicin Control-BTX F#3.1_average","VideoAligned_1 uM Capsaicin Control-BTX F#3.2_average","VideoAligned_1 uM Capsaicin Stress F#1.1_average","VideoAligned_1 uM Capsaicin Stress F#1.2_average","VideoAligned_1 uM Capsaicin Stress F#2.1_average","VideoAligned_1 uM Capsaicin Stress F#2.2_average","VideoAligned_1 uM Capsaicin Stress F#3.1_average","VideoAligned_1 uM Capsaicin Stress F#3.2_average","VideoAligned_1 uM Capsaicin Stress-BTX F#1.1_average","VideoAligned_1 uM Capsaicin Stress-BTX F#1.2_average","VideoAligned_1 uM Capsaicin Stress-BTX F#2.1_average","VideoAligned_1 uM Capsaicin Stress-BTX F#2.2_average","VideoAligned_1 uM Capsaicin Stress-BTX F#3.1_average","VideoAligned_1 uM Capsaicin Stress-BTX F#3.2_average","VideoAligned_1 uM Capsaicin Stress-BTX M#1.1_average","VideoAligned_1 uM Capsaicin Stress-BTX M#1.2_average","VideoAligned_1 uM Capsaicin Stress-BTX M#2.1_average","VideoAligned_1 uM Capsaicin Stress-BTX M#2.2_average","VideoAligned_1 uM Capsaicin Stress-BTX M#3.1_average","VideoAligned_1 uM Capsaicin Stress-BTX M#3.2_average"
11,0.164903763848059,0.00650816614053941,0.00348401376185709,0.000281936567623818,0.0119906736524472,0.0149606640666296,-0.00154946016814412,0.0238939688073329,0.00579598337394753,0.0141421422620878,0.00380873419272122,0.0206480971080641,-0.00318609165929993,-0.0229696676408069,0.0124251613737218,0.0367577193891626,-0.0201942740070534,-0.00607600513642303,0.0444033770021606,0.0171658376472771,-0.000178815804452972,0.017123740475334,-0.0128856886437441,-0.00931058792951216,0.259444898990133,0.0199514694229943,0.00315660573481436,-0.00332423067798557,0.0275000879198771,-0.0383785925668153,0.0285937413609336,0.0115051849927728,0.0266361926570591,0.0103553229135675,0.0126398533766787,-0.0276872754747933,0.00809724844899893,0.0232976052870119,0.0673890968413198,0.0523854346583416,0.0262263805836429,-0.00614463971321312
12,0.311402291876997,0.0125273310408898,0.0166365385972837,-0.00159624778505401,0.00231620806320527,-0.0146400185729392,0.00114770612865445,0.020877322125128,-0.0128679886468617,-0.00370493382209334,0.00511572618631199,0.0575342954793612,-0.00520621206377255,-0.0928142575551564,-0.0139082559010839,0.0408909362277397,0.00854455311521901,-0.0152582549514063,0.0208632246526958,0.0396000270745991,-0.0505625816022062,0.0738316807262037,-0.0442094521977924,-0.0260589387211054,-0.0147508931682693,0.0260189334180804,-0.00211726726158958,-0.0326695530146628,0.0208498347366771,-0.107136419780367,0.00424964977792541,0.0169434530657403,0.0220986207689922,-0.00364028202770949,0.0196140470086041,-0.0647077085738221,-0.0129539459890254,0.0316248485557036,0.0521670134709773,0.0143677821867946,0.0328427008053417,-0.0039053458625567
13,0.337212840853606,0.0372675011566192,0.0252428481132557,0.0216840658698772,0.0296310194925986,-0.0181223312032866,0.0116857612780618,0.0325742147783198,0.0119561635951638,-0.00954100475125493,0.0231634978946648,0.086897405513613,0.000952162701437728,-0.0875646620359279,-0.00848391042895627,0.0500062132031125,0.0167618216480327,-0.0035024869459163,0.00795458294358266,0.0332787096850031,-0.0615681020045164,0.0713176780567781,-0.0351381824093991,-0.00757484411145438,-0.0240407704955582,0.0493396055566254,0.00791303057624682,-0.0365205239242498,0.025554580080124,-0.118177141579981,0.000371888771082061,0.0216457754759031,0.0282275364239799,0.0150587263901041,0.0444645227833482,-0.0396026763202469,-0.0118486470469734,0.0427534513295692,0.0694272785879787,0.0315136105058294,0.0239605249180504,0.0101783780582808
14,0.356294742394739,0.0561955830587749,0.0310819582363524,0.0397197321511453,0.054534815774188,-0.0170146822397196,0.0135200055911932,0.0428476837598131,0.0363731890123437,-0.0191387192105224,0.039221104344675,0.0931434556034556,0.00827748413204012,-0.094267833184678,-0.011808514602014,0.0531788327113161,0.0386718128895124,0.00493309301888207,0.00175995303020671,0.0321231690465354,-0.0590788500512519,0.081919718187803,-0.0259029609812256,-0.00505494951026552,-0.0181474306841901,0.0732768345586546,0.01435297388053,-0.0509933902743622,0.0234234259402331,-0.135495843804162,-0.00788185373066155,0.0272289723591504,0.0302571492262142,0.0176294159086882,0.0579906456087845,-0.00821590504521457,-0.0217385948868753,0.0737785378927742,0.0962282201570428,0.0298007536311278,0.0138492787098642,0.0209508882343324
15,0.370802976545784,0.0660665288994398,0.038517110375977,0.0587901864665574,0.0630249847923881,-0.00755747175101679,0.0166537710622526,0.0543351319628462,0.0554996814622277,-0.0176857533298204,0.0578011063177981,0.132816872083152,0.0115030126532081,-0.105305246930111,-0.018472243999107,0.0579365884519772,0.0561068869320125,0.0114141110487661,-0.000874077253615691,0.032146919597405,-0.0567788679158719,0.11342379577649,-0.0164764278768442,0.000599052218162708,-0.00851673010933373,0.0927967021278963,0.0273974951698762,-0.0572218055618057,0.0339669178093621,-0.153736473890806,-0.0205651165732057,0.0293049755720752,0.0338806660609497,0.029435372952647,0.070395859636363,-0.00113893617651717,-0.0292564130928914,0.11144223343388,0.121651413883748,0.0274667527814609,0.00995831258633716,0.0351246808761555
16,0.403766185949128,0.0853297283705646,0.0433000065563147,0.074353137921823,0.0665622778587693,-0.0221154686965555,0.0144640264311041,0.0639006148031233,0.0730194222301489,0.00296756963651024,0.0754256749168288,0.158093046550394,0.0137944365667873,-0.0968587425339494,-0.0212831468408254,0.0665649185185901,0.0565059344975049,0.0215206465538682,-0.0059473376017653,0.0381697315546221,-0.0490100488851851,0.143276230840485,-0.00884327486395566,0.00661563583384034,5.24773771474104e-05,0.103891486866006,0.0374014480207805,-0.0652129875381778,0.0515008468048747,-0.152709377184745,-0.0287979909208664,0.0321560979887748,0.0324115248782229,0.0397410155253383,0.0818833700528538,-0.0160322134588809,-0.0296195392046329,0.156493602136521,0.135603310216656,0.0176907597952254,0.0060317243267339,0.0610525230655513
17,0.417598728870459,0.101133522973791,0.0471924557288908,0.0897874777829549,0.067213675832886,-0.0260620155328041,0.0220640894918386,0.0721700923017175,0.0815144260265408,-0.00240902094648235,0.0935186390259163,0.179683430436225,0.00708758591028061,-0.0903862004204643,-0.0208870527797197,0.0656523631461712,0.055522297308708,0.027293432691427,-0.0100962425484505,0.0385120522029489,-0.0326420233766156,0.148735589656045,-0.00380802192235823,0.0145998198007618,0.0236749075366798,0.119445568996694,0.0383171763359909,-0.0811040889805862,0.0613232420908649,-0.156823990214255,-0.0480651338376336,0.0349954113052377,0.0258549939057832,0.0355716456057037,0.0971178094312907,-0.0428440468275859,-0.0328626586727302,0.167857256854748,0.15183706420671,0.00554702370920203,-0.000153637773744214,0.0751738534804298
18,0.404733783848746,0.118031467992204,0.0540484032716159,0.0985931406538493,0.0699381081045321,-0.0271807209467081,0.0311913886962387,0.0731565456922245,0.0980017249466787,-0.00532128514310623,0.109112687884455,0.221294258240113,0.00761260820354033,-0.0904002632884657,-0.0169003522939728,0.0696482226393286,0.0540950125021542,0.0257731146491374,-6.52071714142407e-06,0.0314182055915233,-0.0287405538874042,0.167901029575963,0.0120576563762084,0.0206881876186039,0.0433465679420096,0.135496994197158,0.0461904819033625,-0.0888479180714632,0.0771858258019356,-0.150280320907341,-0.0625484049878013,0.0390502352932393,0.0240939190954137,0.0339367517907721,0.107798535318987,-0.0635124605043832,-0.0363744049024,0.16634656525028,0.174845442921324,-0.00965469013912099,-0.00581688756529021,0.0751667254181992
19,0.414594691059925,0.138537496816486,0.0556918608622785,0.107161928184981,0.0700463964292001,-0.0319532558391686,0.0360780848864742,0.0776725411026451,0.117085686607279,-0.0203207316764976,0.122884571896069,0.24116682679567,0.00423414171939935,-0.087092558009906,-0.00752683846906566,0.0763352360919124,0.055282214607489,0.0379455363033769,0.00304759695197458,0.0415646706029203,-0.00196185259162994,0.195134102143044,0.0195602339092959,0.0233197665007802,0.0560652810946098,0.147806369508254,0.0534384511159707,-0.0934798409682604,0.0873723441263928,-0.150145956259299,-0.0532375103513323,0.0466131432259295,0.0271023958816057,0.0436317360797673,0.115747433718136,-0.072138034471151,-0.0309165563329348,0.175923702656715,0.205210140465808,-0.0168931572156574,-0.00542914861124956,0.0935553253555352
20,0.40770278073101,0.161172072161294,0.0652332379878383,0.11505782675592,0.0644525272492755,-0.0221196591990424,0.0396944230014904,0.0885242698494308,0.13389819971154,-0.0108710242205609,0.134863365511683,0.250142400330899,0.0061666332015155,-0.0874625048423085,0.0199922138967416,0.076470379808989,0.0621541208332651,0.0395530905005032,0.0166572715647685,0.0604474371190374,0.0419313361467066,0.187442392462462,0.0239362234839276,0.0230975726384045,0.0666738251935259,0.160239741901839,0.0660203404398325,-0.104671649213425,0.103993961287638,-0.136020923361872,-0.0423431664590573,0.0486869652193171,0.0250011542044657,0.0634859658819741,0.134506560434216,-0.0811574347389416,-0.026314035630497,0.17567426678928,0.234370251261069,-0.0116167336532114,-0.00165696232422837,0.111377716735196
21,0.391461048621662,0.169645837792759,0.0732092588913486,0.1227598286575,0.058488220064339,-0.0186250059144585,0.0425654153802007,0.0874629279510117,0.144340706516192,0.0130425775393324,0.146193216811472,0.253033176568068,0.00551719565243407,-0.0894348889127332,0.0422398821094078,0.0877732773662929,0.0622125973881759,0.0456408784759075,0.0115702204086594,0.0623610395678313,0.0545631643400013,0.198880210394425,0.0300957151024456,0.0255833622331095,0.0729052634707275,0.170180743104248,0.0691437879259533,-0.115767122740987,0.119015364937986,-0.0945397201232122,-0.0131044857456313,0.0475821480787769,0.0217678910931995,0.0535659087970108,0.145063103787919,-0.088633135529084,-0.0203501052223586,0.190332750509358,0.254650703025047,-0.00956936400967266,0.000582494041260607,0.118947087339202
22,0.382672415780048,0.177523588797782,0.0803040490082586,0.130412637570623,0.0800315155691058,-0.0111756397492542,0.0525388485696048,0.094280796348344,0.153174752502876,0.00974011887971733,0.158553397609569,0.258884516630176,0.012374667161646,-0.100466196088913,0.0711991030648572,0.0947893002686155,0.079261190448058,0.0537250209403648,0.0220049136494216,0.0544947322413255,0.0655212700763007,0.182380704508703,0.039022157989222,0.0242779263968055,0.0629117877627055,0.187295182433878,0.0712234714658323,-0.126318878033075,0.124817466628091,-0.107459753719501,-0.0388617210670425,0.050072021264267,0.0233346921434021,0.0636397240068642,0.16890395216998,-0.0923102254052336,-0.0127478703136195,0.20902558175118,0.276971092038093,0.0228326625333643,0.013161169210309,0.121075467337514
