 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27
30,19822,19822,17190,17190,19877,19877,46185,46185,25168,25168,53514,53514,21881,21881,13931,13931,30768,30768,20703,20703,21831,21831,28192,28192,80141,80141,18401,18401,43819,43819,12520,12520,24493,24493,12507,12507,18293,18293,58628,58628,29256,29256,14145,14145,14466,14466,44232,44232,44809,44809,4981,4981,23677,23677
31,19919,19919,16726,16726,19859,19859,40046,40046,27483,27483,53485,53485,22717,22717,13410,13410,31099,31099,21335,21335,21958,21958,28520,28520,79991,79991,18931,18931,44696,44696,12766,12766,24785,24785,12197,12197,18263,18263,58168,58168,29656,29656,14618,14618,14566,14566,45045,45045,45726,45726,4974,4974,23949,23949
32,20197,20197,17066,17066,19439,19439,38176,38176,29110,29110,54178,54178,22683,22683,13471,13471,31257,31257,21248,21248,21730,21730,28888,28888,80693,80693,18846,18846,44196,44196,12415,12415,24779,24779,11989,11989,18441,18441,58350,58350,29676,29676,14837,14837,14790,14790,44363,44363,45216,45216,4934,4934,23540,23540
33,19990,19990,17078,17078,19974,19974,37571,37571,28476,28476,54084,54084,22236,22236,13562,13562,31800,31800,21562,21562,22645,22645,29187,29187,79995,79995,18783,18783,43918,43918,12398,12398,24334,24334,12016,12016,18419,18419,59016,59016,30059,30059,14709,14709,14674,14674,44588,44588,45060,45060,4668,4668,23446,23446
34,20157,20157,16978,16978,19727,19727,37042,37042,28236,28236,53486,53486,22216,22216,13837,13837,31713,31713,21952,21952,22437,22437,29588,29588,81123,81123,19004,19004,43881,43881,11924,11924,24903,24903,11819,11819,18101,18101,59438,59438,30019,30019,15091,15091,14651,14651,45335,45335,45124,45124,4692,4692,23775,23775
35,19789,19789,17551,17551,19278,19278,35345,35345,27018,27018,53183,53183,22834,22834,14025,14025,30646,30646,21843,21843,22595,22595,29193,29193,80312,80312,18982,18982,41037,41037,11864,11864,24157,24157,11778,11778,18583,18583,58162,58162,29357,29357,14575,14575,15372,15372,43491,43491,45533,45533,4848,4848,23736,23736
36,19556,19556,17469,17469,19640,19640,34307,34307,27828,27828,52719,52719,23329,23329,13966,13966,30514,30514,21610,21610,21751,21751,30128,30128,80904,80904,18599,18599,42345,42345,12055,12055,24790,24790,11978,11978,18773,18773,59540,59540,29730,29730,14463,14463,14757,14757,44698,44698,45657,45657,4942,4942,23461,23461
37,20405,20405,17090,17090,19748,19748,35136,35136,27600,27600,53284,53284,22675,22675,14030,14030,31211,31211,21025,21025,21897,21897,29725,29725,80736,80736,18626,18626,42439,42439,11980,11980,24792,24792,11946,11946,19222,19222,59240,59240,29823,29823,14197,14197,14590,14590,43794,43794,45383,45383,4750,4750,23841,23841
38,19621,19621,17493,17493,19538,19538,32552,32552,26917,26917,52353,52353,22300,22300,13650,13650,31518,31518,21177,21177,21780,21780,29427,29427,80818,80818,19292,19292,42795,42795,12285,12285,25777,25777,11788,11788,18249,18249,58172,58172,30420,30420,14741,14741,14964,14964,45059,45059,45507,45507,5023,5023,23821,23821
39,19820,19820,17298,17298,19114,19114,33244,33244,27170,27170,53214,53214,22518,22518,13704,13704,31869,31869,21819,21819,21617,21617,30603,30603,81430,81430,18805,18805,40983,40983,11888,11888,25333,25333,11942,11942,18900,18900,65050,65050,30846,30846,14725,14725,14989,14989,44947,44947,46136,46136,5051,5051,23941,23941
40,20490,20490,17162,17162,19214,19214,32138,32138,26457,26457,53203,53203,22772,22772,14168,14168,31211,31211,22307,22307,22125,22125,30609,30609,81317,81317,18775,18775,44524,44524,12064,12064,25865,25865,12089,12089,18696,18696,61867,61867,30649,30649,14676,14676,14980,14980,45876,45876,46689,46689,4895,4895,24473,24473
