 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40
11,2833,2833,6276,6276,19602,19602,223905,223905,48924,48924,17138,17138,113943,113943,11658,11658,42332,42332,13373,13373,106739,106739,6434,6434,43252,43252,115193,115193,26326,26326,59630,59630,17425,17425,135811,135811,50286,50286,7890,7890,11294,11294,3008,3008,27924,27924,22535,22535,6511,6511,35126,35126,109530,109530,35243,35243,133920,133920,4587,4587,36764,36764,92424,92424,33289,33289,55954,55954,18617,18617,70357,70357,80888,80888,222335,222335,190265,190265,16602,16602
12,3078,3078,6318,6318,19913,19913,224220,224220,46024,46024,17507,17507,102839,102839,11240,11240,43434,43434,12961,12961,102361,102361,6728,6728,45018,45018,116838,116838,24544,24544,60639,60639,18042,18042,130272,130272,48995,48995,7756,7756,11165,11165,3018,3018,27564,27564,22844,22844,6847,6847,36290,36290,107312,107312,35330,35330,131607,131607,4553,4553,39867,39867,97026,97026,33434,33434,55670,55670,18576,18576,71393,71393,82873,82873,223481,223481,196254,196254,16533,16533
13,3176,3176,6197,6197,19943,19943,226209,226209,43142,43142,17534,17534,98849,98849,11275,11275,44489,44489,13440,13440,107474,107474,6924,6924,46686,46686,118890,118890,26255,26255,61582,61582,17526,17526,133312,133312,49263,49263,7819,7819,10390,10390,2959,2959,27407,27407,23220,23220,6748,6748,39508,39508,109313,109313,35899,35899,132648,132648,4845,4845,39742,39742,101269,101269,33584,33584,50614,50614,18633,18633,70738,70738,80923,80923,226726,226726,197127,197127,16347,16347
14,3122,3122,6493,6493,19585,19585,227810,227810,39145,39145,17343,17343,97993,97993,11616,11616,43801,43801,13438,13438,108461,108461,6779,6779,46802,46802,120585,120585,26501,26501,64392,64392,17875,17875,134678,134678,50674,50674,7910,7910,9997,9997,2896,2896,27685,27685,23375,23375,6540,6540,41302,41302,111441,111441,36171,36171,136602,136602,4761,4761,39231,39231,106514,106514,35989,35989,45191,45191,18607,18607,70765,70765,81373,81373,228529,228529,195829,195829,16701,16701
15,3217,3217,6405,6405,20099,20099,226697,226697,38950,38950,17380,17380,102137,102137,11519,11519,43772,43772,13171,13171,111050,111050,6751,6751,48095,48095,123099,123099,25832,25832,66416,66416,17766,17766,137861,137861,51420,51420,7838,7838,10409,10409,3003,3003,27032,27032,24192,24192,6801,6801,43096,43096,112995,112995,36655,36655,138851,138851,4911,4911,39748,39748,117571,117571,35752,35752,38349,38349,19564,19564,73262,73262,80161,80161,231016,231016,195861,195861,16900,16900
16,3198,3198,6696,6696,20383,20383,227968,227968,38891,38891,17632,17632,106753,106753,11123,11123,43754,43754,13048,13048,111602,111602,6732,6732,50046,50046,125257,125257,25442,25442,69921,69921,17949,17949,139512,139512,51415,51415,7574,7574,9755,9755,2904,2904,26528,26528,23968,23968,6534,6534,43880,43880,113707,113707,35390,35390,140857,140857,4818,4818,40463,40463,132238,132238,35334,35334,34394,34394,19396,19396,73170,73170,79709,79709,230371,230371,197568,197568,16693,16693
17,3201,3201,6746,6746,19961,19961,228299,228299,38728,38728,17324,17324,110191,110191,11207,11207,43714,43714,13130,13130,113089,113089,6832,6832,50615,50615,125968,125968,24575,24575,73415,73415,17664,17664,141061,141061,51771,51771,7438,7438,9831,9831,3015,3015,25790,25790,24998,24998,6655,6655,44802,44802,115882,115882,36923,36923,141205,141205,4882,4882,41537,41537,156883,156883,35967,35967,31966,31966,19277,19277,73319,73319,77311,77311,233214,233214,193355,193355,16633,16633
18,3369,3369,6517,6517,20505,20505,226394,226394,39542,39542,17566,17566,107778,107778,11631,11631,43764,43764,13377,13377,114223,114223,6558,6558,51843,51843,125968,125968,25204,25204,78482,78482,17925,17925,142174,142174,53346,53346,7566,7566,9714,9714,2936,2936,25518,25518,24839,24839,6510,6510,45570,45570,116175,116175,36663,36663,141981,141981,5023,5023,42154,42154,185929,185929,35776,35776,30406,30406,18826,18826,73462,73462,76288,76288,232374,232374,196680,196680,16576,16576
19,3295,3295,6864,6864,20472,20472,227021,227021,39807,39807,17737,17737,106553,106553,11278,11278,43629,43629,13253,13253,114398,114398,6854,6854,53466,53466,126220,126220,24017,24017,83268,83268,18010,18010,141985,141985,53929,53929,7441,7441,9683,9683,2735,2735,25263,25263,25649,25649,6676,6676,46455,46455,118209,118209,36084,36084,143314,143314,4747,4747,43826,43826,206973,206973,35712,35712,29585,29585,20098,20098,73906,73906,76326,76326,232226,232226,194404,194404,16619,16619
20,3299,3299,6617,6617,20423,20423,227546,227546,39860,39860,17691,17691,104689,104689,11251,11251,45560,45560,13436,13436,112944,112944,6940,6940,52769,52769,125049,125049,23385,23385,90856,90856,17835,17835,143564,143564,54309,54309,7543,7543,9011,9011,2767,2767,24284,24284,25128,25128,6282,6282,45258,45258,117971,117971,36524,36524,145677,145677,5122,5122,46452,46452,220859,220859,36254,36254,28238,28238,20367,20367,74069,74069,77338,77338,234134,234134,195609,195609,17020,17020
21,3470,3470,6877,6877,20523,20523,226939,226939,40167,40167,17089,17089,97534,97534,11218,11218,45251,45251,13628,13628,113515,113515,6758,6758,53003,53003,125950,125950,23933,23933,96865,96865,18362,18362,145796,145796,54312,54312,7269,7269,8958,8958,2795,2795,23923,23923,26575,26575,6267,6267,41406,41406,119374,119374,36046,36046,145229,145229,5092,5092,48551,48551,228444,228444,35725,35725,26789,26789,20260,20260,74875,74875,76035,76035,235947,235947,194838,194838,16643,16643
22,3302,3302,6843,6843,20896,20896,222090,222090,41281,41281,17617,17617,83620,83620,11148,11148,45419,45419,13439,13439,113322,113322,6965,6965,53579,53579,123867,123867,24021,24021,102233,102233,17941,17941,148137,148137,54558,54558,7571,7571,9067,9067,2880,2880,23483,23483,27079,27079,6428,6428,32322,32322,119904,119904,36590,36590,146645,146645,5135,5135,51943,51943,233649,233649,36097,36097,27714,27714,20070,20070,76549,76549,74965,74965,233631,233631,191812,191812,16768,16768
23,3523,3523,6823,6823,20454,20454,212485,212485,40379,40379,17510,17510,67543,67543,11433,11433,45849,45849,13315,13315,114757,114757,6857,6857,53153,53153,123643,123643,21872,21872,107467,107467,18419,18419,148914,148914,55116,55116,7578,7578,9067,9067,2883,2883,23122,23122,27274,27274,6375,6375,19585,19585,120254,120254,37004,37004,145960,145960,5201,5201,54575,54575,236100,236100,36465,36465,27034,27034,20205,20205,75040,75040,76984,76984,235340,235340,191349,191349,16346,16346
24,3497,3497,7017,7017,20839,20839,208931,208931,40093,40093,17506,17506,58174,58174,11039,11039,45662,45662,13640,13640,116338,116338,6796,6796,56399,56399,121717,121717,20843,20843,110859,110859,18334,18334,148457,148457,56132,56132,7135,7135,8727,8727,2848,2848,23178,23178,27533,27533,6215,6215,15846,15846,119139,119139,36178,36178,148121,148121,5141,5141,57615,57615,238094,238094,36290,36290,26701,26701,20029,20029,74732,74732,76692,76692,236843,236843,190104,190104,16510,16510
25,3404,3404,6900,6900,20997,20997,206527,206527,40195,40195,17571,17571,55003,55003,11046,11046,47013,47013,13539,13539,115754,115754,7050,7050,56277,56277,114911,114911,20044,20044,114928,114928,17912,17912,148435,148435,55503,55503,7596,7596,8872,8872,2840,2840,22883,22883,27850,27850,5956,5956,16023,16023,122387,122387,37040,37040,149609,149609,5383,5383,59220,59220,238572,238572,36314,36314,26883,26883,20102,20102,77007,77007,76061,76061,235859,235859,184132,184132,16686,16686
26,3551,3551,6732,6732,20350,20350,207614,207614,40264,40264,17266,17266,54056,54056,10827,10827,53233,53233,13377,13377,117682,117682,6911,6911,57539,57539,94037,94037,17705,17705,115991,115991,18472,18472,151445,151445,56312,56312,7387,7387,8334,8334,2793,2793,22084,22084,28518,28518,5918,5918,17268,17268,121554,121554,37023,37023,149066,149066,5476,5476,60615,60615,240915,240915,36452,36452,26915,26915,19802,19802,78768,78768,74507,74507,238579,238579,176514,176514,16022,16022
