 ,IntDen1,RawIntDen1,IntDen2,RawIntDen2,IntDen3,RawIntDen3,IntDen4,RawIntDen4,IntDen5,RawIntDen5,IntDen6,RawIntDen6,IntDen7,RawIntDen7,IntDen8,RawIntDen8,IntDen9,RawIntDen9,IntDen10,RawIntDen10,IntDen11,RawIntDen11,IntDen12,RawIntDen12,IntDen13,RawIntDen13,IntDen14,RawIntDen14,IntDen15,RawIntDen15,IntDen16,RawIntDen16,IntDen17,RawIntDen17,IntDen18,RawIntDen18,IntDen19,RawIntDen19,IntDen20,RawIntDen20,IntDen21,RawIntDen21,IntDen22,RawIntDen22,IntDen23,RawIntDen23,IntDen24,RawIntDen24,IntDen25,RawIntDen25,IntDen26,RawIntDen26,IntDen27,RawIntDen27,IntDen28,RawIntDen28,IntDen29,RawIntDen29,IntDen30,RawIntDen30,IntDen31,RawIntDen31,IntDen32,RawIntDen32,IntDen33,RawIntDen33,IntDen34,RawIntDen34,IntDen35,RawIntDen35,IntDen36,RawIntDen36,IntDen37,RawIntDen37,IntDen38,RawIntDen38,IntDen39,RawIntDen39,IntDen40,RawIntDen40,IntDen41,RawIntDen41,IntDen42,RawIntDen42
11,10501,10501,5703,5703,22594,22594,21875,21875,11843,11843,32197,32197,41245,41245,10892,10892,13319,13319,9770,9770,5696,5696,18785,18785,6069,6069,9428,9428,11359,11359,25471,25471,9760,9760,24523,24523,28169,28169,13859,13859,29523,29523,6060,6060,3031,3031,15838,15838,13892,13892,13990,13990,13757,13757,4400,4400,5631,5631,12333,12333,2158,2158,8439,8439,9100,9100,12993,12993,9290,9290,18147,18147,6851,6851,6013,6013,4217,4217,5191,5191,6415,6415,11157,11157
12,10576,10576,5790,5790,23564,23564,21284,21284,12019,12019,34245,34245,41883,41883,11403,11403,13813,13813,9362,9362,5467,5467,19031,19031,6727,6727,10064,10064,11156,11156,26519,26519,9952,9952,25105,25105,27653,27653,13613,13613,29062,29062,6075,6075,3314,3314,16465,16465,12872,12872,14315,14315,13571,13571,4644,4644,5608,5608,12546,12546,2209,2209,8319,8319,9127,9127,13340,13340,9555,9555,18474,18474,7169,7169,5902,5902,4367,4367,5083,5083,6716,6716,10886,10886
13,10655,10655,5873,5873,22348,22348,21897,21897,12254,12254,34728,34728,41690,41690,11580,11580,13573,13573,9795,9795,5194,5194,18461,18461,6578,6578,9815,9815,11510,11510,25336,25336,9819,9819,26570,26570,26068,26068,13983,13983,28472,28472,6025,6025,3076,3076,16900,16900,12400,12400,13850,13850,13451,13451,4345,4345,5487,5487,12603,12603,2437,2437,8538,8538,8959,8959,12517,12517,9094,9094,18234,18234,7207,7207,6336,6336,4163,4163,5269,5269,6830,6830,11081,11081
14,10987,10987,5665,5665,23177,23177,21339,21339,12161,12161,35703,35703,41751,41751,11244,11244,13836,13836,9593,9593,5265,5265,19005,19005,6690,6690,9770,9770,11294,11294,26977,26977,9726,9726,25950,25950,26073,26073,13269,13269,27236,27236,6010,6010,2988,2988,16814,16814,12410,12410,13773,13773,13256,13256,4414,4414,5355,5355,12870,12870,2371,2371,8395,8395,8991,8991,12758,12758,9039,9039,18863,18863,7066,7066,6207,6207,3909,3909,5174,5174,6652,6652,10439,10439
15,10998,10998,5930,5930,23336,23336,21849,21849,12412,12412,34870,34870,43153,43153,11076,11076,13580,13580,9528,9528,5275,5275,19264,19264,6519,6519,10028,10028,11606,11606,26574,26574,9856,9856,27599,27599,25199,25199,13790,13790,27039,27039,5848,5848,2840,2840,17505,17505,12630,12630,13977,13977,13496,13496,4555,4555,5488,5488,12533,12533,2516,2516,8681,8681,8910,8910,12388,12388,9068,9068,18603,18603,7018,7018,6344,6344,4207,4207,5027,5027,6924,6924,10784,10784
16,10589,10589,5770,5770,23651,23651,21418,21418,12269,12269,36192,36192,42472,42472,11162,11162,13524,13524,9824,9824,5296,5296,19522,19522,6672,6672,9907,9907,11706,11706,26722,26722,9791,9791,27090,27090,25498,25498,12971,12971,27145,27145,6079,6079,2901,2901,17788,17788,12316,12316,13919,13919,13547,13547,4476,4476,5461,5461,12942,12942,2400,2400,8869,8869,8807,8807,12784,12784,8611,8611,18854,18854,7470,7470,6274,6274,4323,4323,5191,5191,6537,6537,10378,10378
17,10557,10557,5716,5716,23409,23409,21601,21601,12195,12195,35452,35452,41470,41470,10960,10960,13497,13497,9869,9869,5932,5932,19461,19461,6533,6533,10443,10443,11749,11749,27112,27112,9923,9923,26347,26347,24571,24571,13573,13573,26263,26263,6020,6020,3018,3018,16945,16945,12109,12109,13488,13488,13364,13364,4569,4569,5704,5704,12800,12800,2341,2341,8628,8628,8934,8934,12837,12837,9013,9013,19704,19704,7205,7205,6275,6275,4469,4469,5346,5346,6362,6362,10584,10584
18,10313,10313,5607,5607,23885,23885,21110,21110,12807,12807,36400,36400,39257,39257,11092,11092,13017,13017,9841,9841,5578,5578,19539,19539,6812,6812,9995,9995,11872,11872,26504,26504,10094,10094,27115,27115,24604,24604,13235,13235,26257,26257,5903,5903,2880,2880,17644,17644,11623,11623,13420,13420,13362,13362,4633,4633,5357,5357,13156,13156,2443,2443,8660,8660,8826,8826,12681,12681,8978,8978,19714,19714,7224,7224,6389,6389,4271,4271,5065,5065,6820,6820,10872,10872
19,10538,10538,5599,5599,23362,23362,21456,21456,12266,12266,35896,35896,41081,41081,10600,10600,13702,13702,10305,10305,5333,5333,19644,19644,6676,6676,10245,10245,11557,11557,27719,27719,10577,10577,26845,26845,24796,24796,13226,13226,26271,26271,5651,5651,2749,2749,17101,17101,11906,11906,13114,13114,13513,13513,4632,4632,5837,5837,13276,13276,2419,2419,8577,8577,8407,8407,13016,13016,8904,8904,19522,19522,7549,7549,6597,6597,4439,4439,5123,5123,6809,6809,10547,10547
20,10916,10916,5744,5744,23988,23988,21362,21362,12918,12918,36486,36486,43053,43053,11236,11236,13414,13414,10316,10316,5400,5400,20173,20173,6975,6975,10233,10233,12123,12123,26951,26951,10117,10117,27470,27470,24496,24496,13005,13005,25961,25961,5646,5646,2774,2774,16945,16945,12030,12030,13316,13316,13625,13625,4423,4423,5596,5596,13698,13698,2394,2394,8538,8538,9120,9120,12975,12975,8952,8952,19869,19869,7518,7518,6659,6659,4422,4422,5211,5211,6897,6897,10578,10578
21,10574,10574,5721,5721,23715,23715,21733,21733,12520,12520,34979,34979,41580,41580,11200,11200,13336,13336,10587,10587,7265,7265,20225,20225,7062,7062,10280,10280,11956,11956,26444,26444,10142,10142,28560,28560,24412,24412,13185,13185,25513,25513,5624,5624,2928,2928,17293,17293,11679,11679,13574,13574,13417,13417,4548,4548,5593,5593,13181,13181,2391,2391,8658,8658,9209,9209,12950,12950,9234,9234,20622,20622,7380,7380,6502,6502,4467,4467,5058,5058,6706,6706,10969,10969
22,10674,10674,5957,5957,23579,23579,21575,21575,12689,12689,35857,35857,41774,41774,11230,11230,13489,13489,10467,10467,10009,10009,20127,20127,7109,7109,10246,10246,11461,11461,27747,27747,10087,10087,28410,28410,24236,24236,12750,12750,26780,26780,5797,5797,2857,2857,17416,17416,11445,11445,13416,13416,13198,13198,4774,4774,5501,5501,13414,13414,2625,2625,8886,8886,9068,9068,13347,13347,8617,8617,20442,20442,7496,7496,6520,6520,4608,4608,5127,5127,6879,6879,10756,10756
23,10490,10490,5680,5680,24002,24002,21714,21714,12911,12911,36563,36563,43463,43463,11298,11298,13303,13303,11010,11010,10580,10580,20028,20028,7243,7243,10544,10544,12103,12103,27465,27465,10248,10248,29008,29008,24570,24570,12767,12767,25805,25805,5477,5477,2842,2842,17106,17106,11546,11546,13938,13938,13099,13099,4206,4206,5718,5718,13736,13736,2573,2573,8697,8697,8926,8926,13012,13012,9050,9050,20601,20601,7611,7611,6467,6467,4693,4693,5118,5118,6986,6986,10988,10988
